region,labelSubject,labelObject
Skeleton of right lower limb,Navicular bone of right foot,Right lateral cuneiform bone
Skeleton of right lower limb,Navicular bone of right foot,Right medial cuneiform bone
Skeleton of right lower limb,Navicular bone of right foot,Right talus
Skeleton of right lower limb,Navicular bone of right foot,Right cuboid bone
Axial skeleton,Ninth thoracic vertebra,Eighth thoracic vertebra
Axial skeleton,Ninth thoracic vertebra,Left ninth rib
Axial skeleton,Ninth thoracic vertebra,Right ninth rib
Axial skeleton,Ninth thoracic vertebra,Tenth thoracic vertebra
Axial skeleton,Occipital bone,Sphenoid bone
Axial skeleton,Occipital bone,Left temporal bone
Axial skeleton,Occipital bone,Right parietal bone
Axial skeleton,Occipital bone,Right temporal bone
Axial skeleton,Occipital bone,Left parietal bone
Axial skeleton,Occipital bone,Atlas
Skeleton of left lower limb,Proximal phalanx of left big toe,Distal phalanx of left big toe
Skeleton of left lower limb,Proximal phalanx of left big toe,Left first metatarsal bone
Skeleton of left lower limb,Proximal phalanx of left fourth toe,Middle phalanx of left fourth toe
Skeleton of left lower limb,Proximal phalanx of left fourth toe,Left fourth metatarsal bone
Skeleton of left upper limb,Proximal phalanx of left index finger,Middle phalanx of left index finger
Skeleton of left upper limb,Proximal phalanx of left index finger,Left second metacarpal bone
Skeleton of left upper limb,Proximal phalanx of left little finger,Middle phalanx of left little finger
Skeleton of left upper limb,Proximal phalanx of left little finger,Left fifth metacarpal bone
Skeleton of left lower limb,Proximal phalanx of left little toe,Left fifth metatarsal bone
Skeleton of left lower limb,Proximal phalanx of left little toe,Middle phalanx of left little toe
Skeleton of left upper limb,Proximal phalanx of left middle finger,Middle phalanx of left middle finger
Skeleton of left upper limb,Proximal phalanx of left middle finger,Left third metacarpal bone
Skeleton of left upper limb,Proximal phalanx of left ring finger,Middle phalanx of left ring finger
Skeleton of left upper limb,Proximal phalanx of left ring finger,Left fourth metacarpal bone
Skeleton of left lower limb,Proximal phalanx of left second toe,Middle phalanx of left second toe
Skeleton of left lower limb,Proximal phalanx of left second toe,Left second metatarsal bone
Skeleton of left lower limb,Proximal phalanx of left third toe,Left third metatarsal bone
Skeleton of left lower limb,Proximal phalanx of left third toe,Middle phalanx of left third toe
Skeleton of left upper limb,Proximal phalanx of left thumb,Distal phalanx of left thumb
Skeleton of left upper limb,Proximal phalanx of left thumb,Left first metacarpal bone
Skeleton of right lower limb,Proximal phalanx of right big toe,Right first metatarsal bone
Skeleton of right lower limb,Proximal phalanx of right big toe,Distal phalanx of right big toe
Skeleton of right lower limb,Proximal phalanx of right fourth toe,Right fourth metatarsal bone
Skeleton of right lower limb,Proximal phalanx of right fourth toe,Middle phalanx of right fourth toe
Skeleton of right upper limb,Proximal phalanx of right index finger,Middle phalanx of right index finger
Skeleton of right upper limb,Proximal phalanx of right index finger,Right second metacarpal bone
Skeleton of right upper limb,Proximal phalanx of right little finger,Middle phalanx of right little finger
Skeleton of right upper limb,Proximal phalanx of right little finger,Right fifth metacarpal bone
Skeleton of right lower limb,Proximal phalanx of right little toe,Right fifth metatarsal bone
Skeleton of right lower limb,Proximal phalanx of right little toe,Middle phalanx of right little toe
Skeleton of right upper limb,Proximal phalanx of right middle finger,Right third metacarpal bone
Skeleton of right upper limb,Proximal phalanx of right middle finger,Middle phalanx of right middle finger
Skeleton of right upper limb,Proximal phalanx of right ring finger,Right fourth metacarpal bone
Skeleton of right upper limb,Proximal phalanx of right ring finger,Middle phalanx of right ring finger
Skeleton of right lower limb,Proximal phalanx of right second toe,Middle phalanx of right second toe
Skeleton of right lower limb,Proximal phalanx of right second toe,Right second metatarsal bone
Skeleton of right lower limb,Proximal phalanx of right third toe,Right third metatarsal bone
Skeleton of right lower limb,Proximal phalanx of right third toe,Middle phalanx of right third toe
Skeleton of right upper limb,Proximal phalanx of right thumb,Right first metacarpal bone
Skeleton of right upper limb,Proximal phalanx of right thumb,Distal phalanx of right thumb
Skeleton of right lower limb,Right calcaneus,Right talus
Skeleton of right lower limb,Right calcaneus,Right cuboid bone
Skeleton of right upper limb,Right capitate,Right third metacarpal bone
Skeleton of right upper limb,Right capitate,Right scaphoid
Skeleton of right upper limb,Right capitate,Right fourth metacarpal bone
Skeleton of right upper limb,Right capitate,Right trapezoid
Skeleton of right upper limb,Right capitate,Right lunate
Skeleton of right upper limb,Right capitate,Right hamate
Skeleton of right upper limb,Right capitate,Right second metacarpal bone
Skeleton of right upper limb,Right clavicle,Right scapula
Skeleton of right upper limb,Right clavicle,Sternum
Skeleton of right lower limb,Right cuboid bone,Right lateral cuneiform bone
Skeleton of right lower limb,Right cuboid bone,Right fourth metatarsal bone
Skeleton of right lower limb,Right cuboid bone,Navicular bone of right foot
Skeleton of right lower limb,Right cuboid bone,Right fifth metatarsal bone
Skeleton of right lower limb,Right cuboid bone,Right calcaneus
Axial skeleton,Right eighth costal cartilage,Right eighth rib
Axial skeleton,Right eighth rib,Eighth thoracic vertebra
Axial skeleton,Right eighth rib,Right eighth costal cartilage
Axial skeleton,Right eleventh costal cartilage,Right eleventh rib
Axial skeleton,Right eleventh rib,Eleventh thoracic vertebra
Axial skeleton,Right eleventh rib,Right eleventh costal cartilage
Skeleton of right lower limb,Right femur,Right hip bone
Skeleton of right lower limb,Right femur,Right patella
Skeleton of right lower limb,Right femur,Right tibia
Skeleton of right lower limb,Right fibula,Right talus
Skeleton of right lower limb,Right fibula,Right tibia
Axial skeleton,Right fifth costal cartilage,Sternum
Axial skeleton,Right fifth costal cartilage,Right fifth rib
Skeleton of right upper limb,Right fifth metacarpal bone,Proximal phalanx of right little finger
Skeleton of right upper limb,Right fifth metacarpal bone,Right fourth metacarpal bone
Skeleton of right upper limb,Right fifth metacarpal bone,Right hamate
Skeleton of right lower limb,Right fifth metatarsal bone,Proximal phalanx of right little toe
Skeleton of right lower limb,Right fifth metatarsal bone,Right fourth metatarsal bone
Skeleton of right lower limb,Right fifth metatarsal bone,Right cuboid bone
Axial skeleton,Right fifth rib,Right fifth costal cartilage
Axial skeleton,Right fifth rib,Fifth thoracic vertebra
Axial skeleton,Right first costal cartilage,Sternum
Axial skeleton,Right first costal cartilage,Right first rib
Skeleton of right upper limb,Right first metacarpal bone,Proximal phalanx of right thumb
Skeleton of right upper limb,Right first metacarpal bone,Right trapezium
Skeleton of right lower limb,Right first metatarsal bone,Right medial cuneiform bone
Skeleton of right lower limb,Right first metatarsal bone,Right second metatarsal bone
Skeleton of right lower limb,Right first metatarsal bone,Proximal phalanx of right big toe
Axial skeleton,Right first rib,First thoracic vertebra
Axial skeleton,Right first rib,Right first costal cartilage
Axial skeleton,Right fourth costal cartilage,Sternum
Axial skeleton,Right fourth costal cartilage,Right fourth rib
Skeleton of right upper limb,Right fourth metacarpal bone,Right third metacarpal bone
Skeleton of right upper limb,Right fourth metacarpal bone,Right capitate
Skeleton of right upper limb,Right fourth metacarpal bone,Right hamate
Skeleton of right upper limb,Right fourth metacarpal bone,Proximal phalanx of right ring finger
Skeleton of right upper limb,Right fourth metacarpal bone,Right fifth metacarpal bone
Skeleton of right lower limb,Right fourth metatarsal bone,Right third metatarsal bone
Skeleton of right lower limb,Right fourth metatarsal bone,Proximal phalanx of right fourth toe
Skeleton of right lower limb,Right fourth metatarsal bone,Right fifth metatarsal bone
Skeleton of right lower limb,Right fourth metatarsal bone,Right cuboid bone
Axial skeleton,Right fourth rib,Right fourth costal cartilage
Axial skeleton,Right fourth rib,Fourth thoracic vertebra
Skeleton of right upper limb,Right hamate,Right fourth metacarpal bone
Skeleton of right upper limb,Right hamate,Right capitate
Skeleton of right upper limb,Right hamate,Right lunate
Skeleton of right upper limb,Right hamate,Right triquetral
Skeleton of right upper limb,Right hamate,Right fifth metacarpal bone
Skeleton of left lower limb,Right hip bone,Sacrum
Skeleton of left lower limb,Right hip bone,Right femur
Skeleton of right upper limb,Right humerus,Right scapula
Skeleton of right upper limb,Right humerus,Right ulna
Skeleton of right upper limb,Right humerus,Right radius
Bones of right middle ear,Right incus,Right stapes
Bones of right middle ear,Right incus,Right malleus
Axial skeleton,Right inferior nasal concha,Right palatine bone
Axial skeleton,Right inferior nasal concha,Right maxilla
Axial skeleton,Right inferior nasal concha,Right lacrimal bone
Axial skeleton,Right inferior nasal concha,Ethmoid
Skeleton of right upper limb,Right intermediate cuneiform bone,Right lateral cuneiform bone
Skeleton of right upper limb,Right intermediate cuneiform bone,Right medial cuneiform bone
Skeleton of right upper limb,Right intermediate cuneiform bone,Navicular bone of right foot
Skeleton of right upper limb,Right intermediate cuneiform bone,Right second metatarsal bone
Axial skeleton,Right lacrimal bone,Right inferior nasal concha
Axial skeleton,Right lacrimal bone,Frontal bone
Axial skeleton,Right lacrimal bone,Right maxilla
Axial skeleton,Right lacrimal bone,Ethmoid
Skeleton of right upper limb,Right lateral cuneiform bone,Right intermediate cuneiform bone
Skeleton of right upper limb,Right lateral cuneiform bone,Right third metatarsal bone
Skeleton of right upper limb,Right lateral cuneiform bone,Navicular bone of right foot
Skeleton of right upper limb,Right lateral cuneiform bone,Right cuboid bone
Skeleton of right upper limb,Right lateral cuneiform bone,Right second metatarsal bone
Skeleton of right upper limb,Right lunate,Right scaphoid
Skeleton of right upper limb,Right lunate,Right capitate
Skeleton of right upper limb,Right lunate,Right radius
Skeleton of right upper limb,Right lunate,Right hamate
Skeleton of right upper limb,Right lunate,Right triquetral
Bones of right middle ear,Right malleus,Right incus
Axial skeleton,Right maxilla,Right inferior nasal concha
Axial skeleton,Right maxilla,Right zygomatic bone
Axial skeleton,Right maxilla,Left maxilla
Axial skeleton,Right maxilla,Right nasal bone
Axial skeleton,Right maxilla,Right palatine bone
Axial skeleton,Right maxilla,Frontal bone
Axial skeleton,Right maxilla,Vomer
Axial skeleton,Right maxilla,Right lacrimal bone
Axial skeleton,Right maxilla,Ethmoid
Skeleton of right upper limb,Right medial cuneiform bone,Right intermediate cuneiform bone
Skeleton of right upper limb,Right medial cuneiform bone,Navicular bone of right foot
Skeleton of right upper limb,Right medial cuneiform bone,Right first metatarsal bone
Skeleton of right upper limb,Right medial cuneiform bone,Right second metatarsal bone
Axial skeleton,Right nasal bone,Frontal bone
Axial skeleton,Right nasal bone,Right maxilla
Axial skeleton,Right nasal bone,Left nasal bone
Axial skeleton,Right nasal bone,Ethmoid
Axial skeleton,Right ninth costal cartilage,Right ninth rib
Axial skeleton,Right ninth rib,Right ninth costal cartilage
Axial skeleton,Right ninth rib,Ninth thoracic vertebra
Axial skeleton,Right palatine bone,Sphenoid bone
Axial skeleton,Right palatine bone,Left palatine bone
Axial skeleton,Right palatine bone,Right inferior nasal concha
Axial skeleton,Right palatine bone,Right maxilla
Axial skeleton,Right palatine bone,Vomer
Axial skeleton,Right palatine bone,Ethmoid
Axial skeleton,Right parietal bone,Sphenoid bone
Axial skeleton,Right parietal bone,Occipital bone
Axial skeleton,Right parietal bone,Right temporal bone
Axial skeleton,Right parietal bone,Left parietal bone
Axial skeleton,Right parietal bone,Frontal bone
Skeleton of right lower limb,Right patella,Right femur
Skeleton of left upper limb,Right pisiform,Right triquetral
Skeleton of right upper limb,Right radius,Right scaphoid
Skeleton of right upper limb,Right radius,Right ulna
Skeleton of right upper limb,Right radius,Right lunate
Skeleton of right upper limb,Right radius,Right humerus
Skeleton of right upper limb,Right scaphoid,Right trapezium
Skeleton of right upper limb,Right scaphoid,Right capitate
Skeleton of right upper limb,Right scaphoid,Right trapezoid
Skeleton of right upper limb,Right scaphoid,Right radius
Skeleton of right upper limb,Right scaphoid,Right lunate
Skeleton of right upper limb,Right scapula,Right humerus
Skeleton of right upper limb,Right scapula,Right clavicle
Axial skeleton,Right second costal cartilage,Sternum
Axial skeleton,Right second costal cartilage,Right second rib
Skeleton of right upper limb,Right second metacarpal bone,Right third metacarpal bone
Skeleton of right upper limb,Right second metacarpal bone,Right trapezium
Skeleton of right upper limb,Right second metacarpal bone,Right capitate
Skeleton of right upper limb,Right second metacarpal bone,Right trapezoid
Skeleton of right upper limb,Right second metacarpal bone,Proximal phalanx of right index finger
Skeleton of right upper limb,Right second metatarsal bone,Right intermediate cuneiform bone
Skeleton of right upper limb,Right second metatarsal bone,Right lateral cuneiform bone
Skeleton of right upper limb,Right second metatarsal bone,Right medial cuneiform bone
Skeleton of right upper limb,Right second metatarsal bone,Right third metatarsal bone
Skeleton of right upper limb,Right second metatarsal bone,Proximal phalanx of right second toe
Skeleton of right upper limb,Right second metatarsal bone,Right first metatarsal bone
Axial skeleton,Right second rib,Second thoracic vertebra
Axial skeleton,Right second rib,Right second costal cartilage
Axial skeleton,Right seventh costal cartilage,Sternum
Axial skeleton,Right seventh costal cartilage,Right seventh rib
Axial skeleton,Right seventh rib,Right seventh costal cartilage
Axial skeleton,Right seventh rib,Seventh thoracic vertebra
Axial skeleton,Right sixth costal cartilage,Sternum
Axial skeleton,Right sixth costal cartilage,Right sixth rib
Axial skeleton,Right sixth rib,Sixth thoracic vertebra
Axial skeleton,Right sixth rib,Right sixth costal cartilage
Bones of right middle ear,Right stapes,Right incus
Skeleton of right lower limb,Right talus,Navicular bone of right foot
Skeleton of right lower limb,Right talus,Right fibula
Skeleton of right lower limb,Right talus,Right calcaneus
Skeleton of right lower limb,Right talus,Right tibia
Axial skeleton,Right temporal bone,Sphenoid bone
Axial skeleton,Right temporal bone,Occipital bone
Axial skeleton,Right temporal bone,Right parietal bone
Axial skeleton,Right temporal bone,Right zygomatic bone
Axial skeleton,Right temporal bone,Mandible
Axial skeleton,Right tenth costal cartilage,Right tenth rib
Axial skeleton,Right tenth rib,Right tenth costal cartilage
Axial skeleton,Right tenth rib,Tenth thoracic vertebra
Axial skeleton,Right third costal cartilage,Sternum
Axial skeleton,Right third costal cartilage,Right third rib
Skeleton of right upper limb,Right third metacarpal bone,Right fourth metacarpal bone
Skeleton of right upper limb,Right third metacarpal bone,Right capitate
Skeleton of right upper limb,Right third metacarpal bone,Right second metacarpal bone
Skeleton of right upper limb,Right third metacarpal bone,Proximal phalanx of right middle finger
Skeleton of right lower limb,Right third metatarsal bone,Right lateral cuneiform bone
Skeleton of right lower limb,Right third metatarsal bone,Right fourth metatarsal bone
Skeleton of right lower limb,Right third metatarsal bone,Right second metatarsal bone
Skeleton of right lower limb,Right third metatarsal bone,Proximal phalanx of right third toe
Axial skeleton,Right third rib,Third thoracic vertebra
Axial skeleton,Right third rib,Right third costal cartilage
Skeleton of right lower limb,Right tibia,Right talus
Skeleton of right lower limb,Right tibia,Right fibula
Skeleton of right lower limb,Right tibia,Right femur
Skeleton of right upper limb,Right trapezium,Right first metacarpal bone
Skeleton of right upper limb,Right trapezium,Right scaphoid
Skeleton of right upper limb,Right trapezium,Right trapezoid
Skeleton of right upper limb,Right trapezium,Right second metacarpal bone
Skeleton of right upper limb,Right trapezoid,Right trapezium
Skeleton of right upper limb,Right trapezoid,Right scaphoid
Skeleton of right upper limb,Right trapezoid,Right capitate
Skeleton of right upper limb,Right trapezoid,Right second metacarpal bone
Skeleton of right upper limb,Right triquetral,Right pisiform
Skeleton of right upper limb,Right triquetral,Right lunate
Skeleton of right upper limb,Right triquetral,Right hamate
Axial skeleton,Right twelfth costal cartilage,Right twelfth rib
Axial skeleton,Right twelfth rib,Right twelfth costal cartilage
Axial skeleton,Right twelfth rib,Twelfth thoracic vertebra
Skeleton of right upper limb,Right ulna,Right radius
Skeleton of right upper limb,Right ulna,Right humerus
Axial skeleton,Right zygomatic bone,Sphenoid bone
Axial skeleton,Right zygomatic bone,Right temporal bone
Axial skeleton,Right zygomatic bone,Frontal bone
Axial skeleton,Right zygomatic bone,Right maxilla
Axial skeleton,Sacrum,Left hip bone
Axial skeleton,Sacrum,Right hip bone
Axial skeleton,Sacrum,Fifth lumbar vertebra
Axial skeleton,Sacrum,Coccyx
Axial skeleton,Second lumbar vertebra,Third lumbar vertebra
Axial skeleton,Second lumbar vertebra,First lumbar vertebra
Axial skeleton,Second thoracic vertebra,Third thoracic vertebra
Axial skeleton,Second thoracic vertebra,First thoracic vertebra
Axial skeleton,Second thoracic vertebra,Left second rib
Axial skeleton,Second thoracic vertebra,Right second rib
Axial skeleton,Seventh cervical vertebra,First thoracic vertebra
Axial skeleton,Seventh cervical vertebra,Sixth cervical vertebra
Axial skeleton,Seventh thoracic vertebra,Left seventh rib
Axial skeleton,Seventh thoracic vertebra,Right seventh rib
Axial skeleton,Seventh thoracic vertebra,Sixth thoracic vertebra
Axial skeleton,Seventh thoracic vertebra,Eighth thoracic vertebra
Axial skeleton,Sixth cervical vertebra,Fifth cervical vertebra
Axial skeleton,Sixth cervical vertebra,Seventh cervical vertebra
Axial skeleton,Sixth thoracic vertebra,Seventh thoracic vertebra
Axial skeleton,Sixth thoracic vertebra,Left sixth rib
Axial skeleton,Sixth thoracic vertebra,Right sixth rib
Axial skeleton,Sixth thoracic vertebra,Fifth thoracic vertebra
Axial skeleton,Sphenoid bone,Left zygomatic bone
Axial skeleton,Sphenoid bone,Left palatine bone
Axial skeleton,Sphenoid bone,Left temporal bone
Axial skeleton,Sphenoid bone,Occipital bone
Axial skeleton,Sphenoid bone,Right parietal bone
Axial skeleton,Sphenoid bone,Right zygomatic bone
Axial skeleton,Sphenoid bone,Right palatine bone
Axial skeleton,Sphenoid bone,Right temporal bone
Axial skeleton,Sphenoid bone,Left parietal bone
Axial skeleton,Sphenoid bone,Frontal bone
Axial skeleton,Sphenoid bone,Vomer
Axial skeleton,Sphenoid bone,Ethmoid
Axial skeleton,Sternum,Right second costal cartilage
Axial skeleton,Sternum,Right fifth costal cartilage
Axial skeleton,Sternum,Right seventh costal cartilage
Axial skeleton,Sternum,Right third costal cartilage
Axial skeleton,Sternum,Left clavicle
Axial skeleton,Sternum,Left fifth costal cartilage
Axial skeleton,Sternum,Right sixth costal cartilage
Axial skeleton,Sternum,Left second costal cartilage
Axial skeleton,Sternum,Right fourth costal cartilage
Axial skeleton,Sternum,Left fourth costal cartilage
Axial skeleton,Sternum,Right clavicle
Axial skeleton,Sternum,Left sixth costal cartilage
Axial skeleton,Sternum,Right first costal cartilage
Axial skeleton,Sternum,Left third costal cartilage
Axial skeleton,Sternum,Left seventh costal cartilage
Axial skeleton,Sternum,Left first costal cartilage
Axial skeleton,Tenth thoracic vertebra,Eleventh thoracic vertebra
Axial skeleton,Tenth thoracic vertebra,Left tenth rib
Axial skeleton,Tenth thoracic vertebra,Ninth thoracic vertebra
Axial skeleton,Tenth thoracic vertebra,Right tenth rib
Axial skeleton,Third cervical vertebra,Axis
Axial skeleton,Third cervical vertebra,Fourth cervical vertebra
Axial skeleton,Third lumbar vertebra,Fourth lumbar vertebra
Axial skeleton,Third lumbar vertebra,Second lumbar vertebra
Axial skeleton,Third thoracic vertebra,Second thoracic vertebra
Axial skeleton,Third thoracic vertebra,Left third rib
Axial skeleton,Third thoracic vertebra,Fourth thoracic vertebra
Axial skeleton,Third thoracic vertebra,Right third rib
Axial skeleton,Twelfth thoracic vertebra,Eleventh thoracic vertebra
Axial skeleton,Twelfth thoracic vertebra,Right twelfth rib
Axial skeleton,Twelfth thoracic vertebra,First lumbar vertebra
Axial skeleton,Twelfth thoracic vertebra,Left twelfth rib
Axial skeleton,Vomer,Sphenoid bone
Axial skeleton,Vomer,Left palatine bone
Axial skeleton,Vomer,Left maxilla
Axial skeleton,Vomer,Right palatine bone
Axial skeleton,Vomer,Right maxilla
Axial skeleton,Vomer,Ethmoid